ContactId,GroupId
18324,2964
18328,2964
18330,2964
18332,2964
18334,2976
18336,2976
18338,2976
18340,2976
18342,2976
18344,2976
18346,2976
18348,2976
18350,2976
18352,2976
18354,2976
18356,2976
18358,2976
18360,2976
18362,2976
18364,2964
18366,2964
18368,2964
18370,2964
18372,2964
18374,2964
18378,2964
18380,2964
18382,2964
18388,2964
18390,2964
18392,2964
18394,2964
18396,2964
18400,2964
18404,2964
18408,2964
18410,2964
18412,2964
18414,2964
18416,2964
18418,2964
18420,2964
18422,2964
18424,2964
18426,2964
18428,2964
18430,2964
18432,2964
18434,2964
18436,2964
18438,2964
18440,2964
18442,2964
18444,2964
18446,2964
18448,2964
18450,2964
18452,2964
18454,2964
18456,2964
18458,2964
18460,2964
18462,2964
18464,2964
18466,2964
18468,2964
18470,2964
18472,2964
18474,2964
18476,2964
18480,2964
18482,2964
18484,2964
18486,2964
18488,2964
18490,2964
18494,2964
18496,2964
18498,2964
18502,2964
18504,2964
18506,2964
18510,2964
18512,2964
18514,2964
18516,2964
18518,2964
18520,2964
18522,2964
18524,2964
18526,2964
18528,2964
18530,2964
18532,2964
18534,2964
18536,2964
18538,2964
18540,2964
18542,2964
18544,2964
18546,2964
18548,2964
18550,2964
18552,2964
18554,2964
18556,2964
18558,2964
18560,2964
18562,2964
18564,2964
18566,2964
18572,2964
18574,2964
18576,2964
18578,2964
18580,2964
18582,2964
18586,2964
18588,2964
18590,2964
18592,2964
18594,2964
18596,2964
18598,2964
18600,2964
18602,2964
18604,2964
18606,2964
18608,2964
18610,2964
18612,2964
18614,2964
18616,2964
18618,2964
18620,2964
18622,2964
18624,2964
18626,2964
18628,2964
18630,2964
18632,2964
18634,2964
18636,2964
18638,2964
18640,2964
18642,2964
18644,2964
18646,2964
18648,2964
18650,2964
18652,2964
18654,2964
18656,2964
18658,2964
18660,2964
18662,2964
18664,2964
18668,2964
18670,2964
18672,2964
18674,2964
18676,2964
18678,2964
18680,2964
18682,2964
18684,2964
18686,2964
18688,2964
18690,2964
18692,2964
18694,2980
18696,2964
18698,2964
18700,2964
18702,2964
18704,2964
18706,2964
18710,2964
18714,2964
18716,2964
18718,2964
18720,2964
18722,2964
18724,2964
18726,2964
18728,2964
18730,2964
18732,2964
18734,2964
18736,2964
18738,2964
18740,2964
18742,2964
18744,2964
18746,2964
18748,2964
18750,2964
18752,2964
18754,2964
18758,2964
18760,2964
18764,2964
18766,2964
18768,2964
18770,2964
18772,2964
18774,2964
18776,2964
18778,2964
18780,2964
18782,2964
18784,2964
18786,2964
18790,2964
18792,2964
18794,2964
18796,2964
18798,2964
18800,2964
18804,2964
18806,2964
18808,2964
18810,2964
18812,2964
18814,2964
18816,2964
18818,2964
18822,2964
18824,2964
18826,2964
18828,2964
